t;u;w;q [graus/s];theta [graus]
0;70;0;0;0
0.1;69.9997;0.178539;2.53535;0.141503
0.2;69.9977;0.509255;3.57971;0.455912
0.3;69.9926;0.843785;3.81021;0.829952
0.4;69.9838;1.11936;3.65786;1.20535
0.5;69.9708;1.32042;3.3724;1.55744
0.6;69.9535;1.454;3.08242;1.88005
0.7;69.9319;1.53532;2.84245;2.1759
0.8;69.9059;1.58026;2.66613;2.45089
0.9;69.8758;1.6021;2.5475;2.7112
1;69.8415;1.61062;2.47349;2.96198
1.1;69.8031;1.61237;2.43041;3.20699
1.2;69.7607;1.61133;2.4068;3.44874
1.3;69.7142;1.60973;2.39422;3.68873
1.4;69.6638;1.60861;2.38701;3.92777
1.5;69.6093;1.60837;2.38172;4.1662
1.6;69.551;1.60904;2.37643;4.40411
1.7;69.4887;1.61049;2.37022;4.64146
1.8;69.4226;1.61257;2.36278;4.87812
1.9;69.3526;1.61512;2.35407;5.11398
2;69.2788;1.61802;2.34419;5.34891
2.1;69.2012;1.62119;2.33329;5.58279
2.2;69.1198;1.62458;2.32151;5.81555
2.3;69.0347;1.62814;2.30895;6.04708
2.4;68.9459;1.63187;2.29569;6.27733
2.5;68.8534;1.63575;2.28179;6.50621
2.6;68.7573;1.63977;2.26726;6.73368
2.7;68.6576;1.64395;2.25214;6.95966
2.8;68.5543;1.64828;2.23644;7.1841
2.9;68.4475;1.65275;2.22015;7.40695
3;68.3373;1.65738;2.2033;7.62813
3.1;68.2235;1.66215;2.18588;7.8476
3.2;68.1064;1.66707;2.16789;8.06531
3.3;67.9859;1.67214;2.14935;8.28118
3.4;67.862;1.67735;2.13026;8.49518
3.5;67.7349;1.6827;2.11062;8.70723
3.6;67.6045;1.68819;2.09045;8.9173
3.7;67.471;1.69383;2.06974;9.12533
3.8;67.3343;1.6996;2.0485;9.33125
3.9;67.1944;1.7055;2.02675;9.53503
4;67.0515;1.71154;2.00448;9.73661
4.1;66.9056;1.71771;1.98172;9.93593
4.2;66.7567;1.72401;1.95845;10.133
4.3;66.605;1.73044;1.9347;10.3276
4.4;66.4503;1.73699;1.91046;10.5199
4.5;66.2928;1.74367;1.88575;10.7097
4.6;66.1325;1.75046;1.86058;10.8971
4.7;65.9696;1.75738;1.83495;11.0819
4.8;65.8039;1.76441;1.80887;11.2641
4.9;65.6356;1.77156;1.78235;11.4436
5;65.4648;1.77881;1.7554;11.6205
5.1;65.2915;1.78618;1.72802;11.7947
5.2;65.1157;1.79366;1.70023;11.9662
5.3;64.9375;1.80124;1.67203;12.1348
5.4;64.7569;1.80892;1.64344;12.3006
5.5;64.5741;1.8167;1.61445;12.4635
5.6;64.389;1.82458;1.58509;12.6235
5.7;64.2018;1.83256;1.55535;12.7805
5.8;64.0124;1.84063;1.52525;12.9346
5.9;63.821;1.84879;1.49481;13.0856
6;63.6275;1.85704;1.46401;13.2336
6.1;63.4321;1.86538;1.43289;13.3784
6.2;63.2349;1.8738;1.40143;13.5202
6.3;63.0358;1.8823;1.36967;13.6587
6.4;62.8349;1.89087;1.3376;13.7941
6.5;62.6323;1.89953;1.30523;13.9263
6.6;62.4281;1.90825;1.27257;14.0552
6.7;62.2222;1.91705;1.23964;14.1808
6.8;62.0149;1.92591;1.20645;14.3031
6.9;61.8061;1.93484;1.17299;14.4221
7;61.5958;1.94383;1.13929;14.5378
7.1;61.3843;1.95289;1.10535;14.65
7.2;61.1714;1.962;1.07119;14.7589
7.3;60.9573;1.97116;1.03681;14.8643
7.4;60.7421;1.98038;1.00222;14.9662
7.5;60.5258;1.98964;0.967432;15.0647
7.6;60.3084;1.99895;0.932459;15.1598
7.7;60.0901;2.00831;0.897309;15.2513
7.8;59.8708;2.01771;0.861993;15.3393
7.9;59.6507;2.02714;0.826521;15.4237
8;59.4299;2.03661;0.790903;15.5046
8.1;59.2083;2.04612;0.755148;15.5819
8.2;58.9861;2.05565;0.719268;15.6557
8.3;58.7632;2.06521;0.683273;15.7258
8.4;58.5399;2.0748;0.647173;15.7923
8.5;58.316;2.08441;0.610977;15.8553
8.6;58.0918;2.09404;0.574697;15.9146
8.7;57.8672;2.10369;0.538343;15.9702
8.8;57.6424;2.11335;0.501924;16.0223
8.9;57.4173;2.12302;0.465452;16.0707
9;57.1921;2.1327;0.428936;16.1154
9.1;56.9668;2.14238;0.392387;16.1565
9.2;56.7415;2.15207;0.355814;16.1939
9.3;56.5162;2.16176;0.319229;16.2277
9.4;56.291;2.17145;0.282641;16.2578
9.5;56.066;2.18113;0.24606;16.2842
9.6;55.8412;2.19081;0.209497;16.307
9.7;55.6167;2.20047;0.172961;16.3262
9.8;55.3925;2.21013;0.136463;16.3417
9.9;55.1687;2.21976;0.100013;16.3535
10;54.9454;2.22938;0.0636207;16.3617
10.1;54.7227;2.23898;0.027296;16.3663
10.2;54.5005;2.24855;-0.00895119;16.3672
10.3;54.279;2.2581;-0.0451109;16.3645
10.4;54.0582;2.26762;-0.0811732;16.3582
10.5;53.8382;2.27711;-0.117129;16.3483
10.6;53.619;2.28657;-0.152967;16.3348
10.7;53.4007;2.29599;-0.188679;16.3178
10.8;53.1833;2.30537;-0.224255;16.2971
10.9;52.967;2.3147;-0.259685;16.273
11;52.7517;2.324;-0.29496;16.2452
11.1;52.5375;2.33325;-0.330071;16.214
11.2;52.3245;2.34245;-0.365008;16.1793
11.3;52.1127;2.3516;-0.399761;16.1411
11.4;51.9023;2.36069;-0.434322;16.0994
11.5;51.6932;2.36973;-0.468682;16.0542
11.6;51.4854;2.37872;-0.502831;16.0057
11.7;51.2792;2.38764;-0.53676;15.9537
11.8;51.0744;2.39649;-0.570461;15.8984
11.9;50.8712;2.40529;-0.603925;15.8397
12;50.6696;2.41401;-0.637142;15.7776
12.1;50.4697;2.42267;-0.670105;15.7123
12.2;50.2715;2.43125;-0.702805;15.6436
12.3;50.0751;2.43976;-0.735233;15.5717
12.4;49.8805;2.44819;-0.767381;15.4966
12.5;49.6877;2.45654;-0.799241;15.4183
12.6;49.4969;2.46482;-0.830804;15.3368
12.7;49.308;2.47301;-0.862063;15.2522
12.8;49.1212;2.48111;-0.89301;15.1645
12.9;48.9364;2.48913;-0.923636;15.0736
13;48.7537;2.49706;-0.953934;14.9798
13.1;48.5732;2.5049;-0.983896;14.8829
13.2;48.3949;2.51264;-1.01352;14.783
13.3;48.2188;2.52029;-1.04278;14.6802
13.4;48.045;2.52784;-1.07169;14.5745
13.5;47.8735;2.5353;-1.10024;14.4659
13.6;47.7044;2.54265;-1.12841;14.3545
13.7;47.5378;2.5499;-1.15621;14.2403
13.8;47.3735;2.55705;-1.18362;14.1233
13.9;47.2118;2.56409;-1.21063;14.0036
14;47.0526;2.57103;-1.23725;13.8812
14.1;46.896;2.57785;-1.26346;13.7562
14.2;46.7419;2.58457;-1.28926;13.6286
14.3;46.5906;2.59117;-1.31464;13.4984
14.4;46.4419;2.59765;-1.33959;13.3657
14.5;46.2959;2.60403;-1.36412;13.2305
14.6;46.1527;2.61028;-1.38821;13.0929
14.7;46.0122;2.61642;-1.41186;12.9529
14.8;45.8746;2.62243;-1.43506;12.8106
14.9;45.7398;2.62833;-1.45781;12.6659
15;45.6079;2.6341;-1.4801;12.519
15.1;45.4789;2.63975;-1.50193;12.3699
15.2;45.3528;2.64527;-1.52329;12.2187
15.3;45.2297;2.65067;-1.54418;12.0653
15.4;45.1096;2.65594;-1.56459;11.9099
15.5;44.9925;2.66108;-1.58452;11.7524
15.6;44.8784;2.66609;-1.60396;11.593
15.7;44.7674;2.67097;-1.62291;11.4317
15.8;44.6596;2.67571;-1.64137;11.2685
15.9;44.5548;2.68033;-1.65933;11.1034
16;44.4531;2.68481;-1.67678;10.9366
16.1;44.3546;2.68915;-1.69373;10.7681
16.2;44.2593;2.69336;-1.71017;10.5979
16.3;44.1672;2.69743;-1.7261;10.4261
16.4;44.0783;2.70137;-1.74151;10.2527
16.5;43.9926;2.70516;-1.7564;10.0778
16.6;43.9102;2.70882;-1.77077;9.90149
16.7;43.8311;2.71234;-1.78462;9.72373
16.8;43.7552;2.71571;-1.79793;9.5446
16.9;43.6826;2.71895;-1.81072;9.36417
17;43.6133;2.72204;-1.82298;9.18249
17.1;43.5473;2.72499;-1.8347;8.9996
17.2;43.4847;2.7278;-1.84588;8.81558
17.3;43.4253;2.73047;-1.85653;8.63046
17.4;43.3694;2.73299;-1.86663;8.4443
17.5;43.3167;2.73537;-1.87619;8.25716
17.6;43.2675;2.73761;-1.88522;8.06909
17.7;43.2216;2.7397;-1.89369;7.88014
17.8;43.179;2.74164;-1.90162;7.69038
17.9;43.1399;2.74344;-1.90901;7.49984
18;43.1041;2.7451;-1.91585;7.3086
18.1;43.0716;2.74661;-1.92214;7.1167
18.2;43.0426;2.74798;-1.92788;6.9242
18.3;43.0169;2.7492;-1.93308;6.73115
18.4;42.9946;2.75027;-1.93772;6.5376
18.5;42.9757;2.7512;-1.94182;6.34362
18.6;42.9602;2.75199;-1.94537;6.14926
18.7;42.948;2.75263;-1.94837;5.95457
18.8;42.9392;2.75312;-1.95083;5.75961
18.9;42.9338;2.75347;-1.95273;5.56443
19;42.9317;2.75368;-1.95409;5.36908
19.1;42.9329;2.75374;-1.95491;5.17363
19.2;42.9375;2.75366;-1.95518;4.97812
19.3;42.9454;2.75343;-1.95491;4.78261
19.4;42.9567;2.75306;-1.95409;4.58716
19.5;42.9712;2.75255;-1.95274;4.39181
19.6;42.9891;2.7519;-1.95085;4.19662
19.7;43.0102;2.75111;-1.94842;4.00165
19.8;43.0346;2.75017;-1.94546;3.80695
19.9;43.0622;2.74909;-1.94196;3.61258
20;43.0931;2.74788;-1.93793;3.41858
20.1;43.1272;2.74652;-1.93338;3.22501
20.2;43.1645;2.74503;-1.92829;3.03191
20.3;43.205;2.7434;-1.92269;2.83936
20.4;43.2487;2.74163;-1.91657;2.64739
20.5;43.2955;2.73972;-1.90992;2.45606
20.6;43.3455;2.73768;-1.90277;2.26541
20.7;43.3985;2.73551;-1.8951;2.07551
20.8;43.4547;2.7332;-1.88693;1.8864
20.9;43.5139;2.73076;-1.87825;1.69813
21;43.5761;2.72819;-1.86907;1.51076
21.1;43.6414;2.72549;-1.85939;1.32433
21.2;43.7096;2.72266;-1.84922;1.13889
21.3;43.7808;2.7197;-1.83856;0.95449
